rock_name_original,rock_group,rock_family,n_occurrences,seen_in
"Weakly mineralized, altered, fine to medium grained Amph-Peridotite",peridotite / ultramafic,ultramafic,1,descriptions.rock_name
"Weakly mineralized, altered, fine to medium grained, melanocratic Gabbro (Amph-Peridotite)",peridotite / ultramafic,ultramafic,1,descriptions.rock_name
"Weakly mineralized, altered, melanocratic Gabbro porphyry (Porphyry like melanocratic Gabbro)",olivine gabbro / melagabbro,mafic intrusive,1,descriptions.rock_name
"Weakly mineralized, altered, melanocratic Gabbro porphyry (Porphyry like, weakly mineralized, altered melanocratic gabbro",olivine gabbro / melagabbro,mafic intrusive,1,descriptions.rock_name
"Weakly mineralized, carbonate-actinolite-chlorite metasomatite after gabbrodiorite",skarn / metasomatite,metamorphic,1,descriptions.rock_name
"Weakly mineralized, chlorite-sericite phyllite after siltstone",schist / phyllite,metamorphic,1,descriptions.rock_name
Weakly pyritised chlorite-sericite-muscovite metasomatite,skarn / metasomatite,metamorphic,1,descriptions.rock_name
Wehrlite,peridotite / ultramafic,ultramafic,1,descriptions.rock_name
Well preserved olivine hornblende orthocumulate,peridotite / ultramafic,ultramafic,1,descriptions.rock_name
Well preserved subophitic-textured olivine-phyric hornblende microgabbro (close to chilled margin 'parent magma' candidate; 7.1% MgO),gabbro / gabbronorite / norite,mafic intrusive,1,descriptions.rock_name
Well-mineralized olivine+hornblende orthocumulate (approaching net-textured sulfides),massive sulfide / ore,vein-ore,1,descriptions.rock_name
altered gneiss,sediment / metasediment,sedimentary,1,samples.petro_lithology
spotted/Schist,schist / phyllite,metamorphic,1,samples.field_lithology
spotted???,hornfels / spotted rock,metamorphic,1,samples.field_lithology
Альбит‑биотит габбро,gabbro / gabbronorite / norite,mafic intrusive,1,samples.petro_lithology
Амфиболит,amphibolite / metabasite,metamorphic,1,samples.petro_lithology
Амфиболитжсон пироксенит,peridotite / ultramafic,ultramafic,1,descriptions.rock_name_original
Габброгоор үүссэн амфиболит,gabbro / gabbronorite / norite,mafic intrusive,1,descriptions.rock_name_original
Габбродиорит порфироор үүссэн амфиболит /амфиболжсон габбродиорит порфир/,gabbrodiorite,mafic intrusive,1,descriptions.rock_name_original
Габбродиорит порфироор үүссэн хлорит-альбитат метасоматит,skarn / metasomatite,metamorphic,1,descriptions.rock_name_original
Гематит-гётит-гидрогётитийн хүдэр,massive sulfide / ore,vein-ore,1,descriptions.rock_name_original
Гранат-карбонатат метасоматит (Скарн),skarn / metasomatite,metamorphic,1,descriptions.rock_name_original
Гранат-кварц-карбонатат чулуу,vein / quartz,vein-ore,1,descriptions.rock_name_original
Диоритоор үүссэн хлорит-альбитат метасоматит,skarn / metasomatite,metamorphic,1,descriptions.rock_name_original
Дундлаг найрлагатай субвулкан,volcanic / subvolcanic,volcanic,1,descriptions.rock_name_original
Жигд биш ширхэгтэй аркоз элсжин,sediment / metasediment,sedimentary,1,descriptions.rock_name_original
Жигд биш ширхэгтэй пироксентэй горнблендит (Hornblendite),hornblendite,ultramafic,1,descriptions.rock_name_original
Жигд биш ширхэгтэй хээрийн жоншт гравелитлаг граувакк элсжин,sediment / metasediment,sedimentary,1,descriptions.rock_name_original
Жижиг дунд ширхэгтэй биотит-эвэр хуурмаг-пироксент габбро,gabbro / gabbronorite / norite,mafic intrusive,1,descriptions.rock_name_original
Жижиг дунд ширхэгтэй биотитот боржин,granitoid,felsic-intermediate intrusive,1,descriptions.rock_name_original
Жижиг дунд ширхэгтэй биотитот гранодиорит,diorite / quartz diorite,felsic-intermediate intrusive,1,descriptions.rock_name_original
Жижиг дунд ширхэгтэй оливин-пироксент габбро,gabbro / gabbronorite / norite,mafic intrusive,1,descriptions.rock_name_original
Жижиг дунд ширхэгтэй пироксен-эвэрхуурмагт габбродиорит,gabbrodiorite,mafic intrusive,1,descriptions.rock_name_original
Жижиг дунд ширхэгтэй эвэр хуурмагт кварцат диорит (габбродиорит),gabbrodiorite,mafic intrusive,1,descriptions.rock_name_original
Жижиг ширхэгтэй биотитот кварцат диорит (Микродиорит),diorite / quartz diorite,felsic-intermediate intrusive,1,descriptions.rock_name_original
Жижиг ширхэгтэй пироксен-эвэрхуурмагт габбродиорит,gabbrodiorite,mafic intrusive,1,descriptions.rock_name_original
Жижиг ширхэгтэй хээрийн жоншт элсжин,sediment / metasediment,sedimentary,1,descriptions.rock_name_original
Жижиг-дунд ширхэгтэй оливин-эвэр хуурмаг-пироксент перидотит,peridotite / ultramafic,ultramafic,1,descriptions.rock_name_original
Жижиг-дунд ширхэгтэй пироксен эвэр хуурмагт габбро,gabbro / gabbronorite / norite,mafic intrusive,1,descriptions.rock_name_original
"Занаржиж, карбонатчлагдаж, хүчтэй хувирсан габбродиорит порфир /Габбродиоритоор үүссэн метасоматит/",skarn / metasomatite,metamorphic,1,descriptions.rock_name_original
Карбанат хээрийн габбро,gabbro / gabbronorite / norite,mafic intrusive,1,samples.petro_lithology
Карбанаттай метасоматит,skarn / metasomatite,metamorphic,1,samples.petro_lithology
Карбонатжиж хувирсан базальт,dolerite / diabase / basalt dyke,mafic intrusive,1,descriptions.rock_name_original
"Карбонатжиж, хүдэржсэн кварцын судал",vein / quartz,vein-ore,1,descriptions.rock_name_original
Карбонатчлагдаж сулавтар брекчилэгдсэн хувирсан диорит порфир,diorite / quartz diorite,felsic-intermediate intrusive,1,descriptions.rock_name_original
"Карбонатчлагдаж, метасоматозоор хүчтэй хувирсан дунд жижиг ширхэгтэй биотитот диорит",diorite / quartz diorite,felsic-intermediate intrusive,1,descriptions.rock_name_original
"Карбонатчлагдаж, хүдэржсэн жигд биш ширхэгтэй оливин-эвэр хуурмагт перидотит (жижиг ширхэгтэй габбро болон лейкогабброгийн линз, шлиртэй)",peridotite / ultramafic,ultramafic,1,descriptions.rock_name_original
"Карбонатчлагдаж, цахиуржсан хувирсан андезит",volcanic / subvolcanic,volcanic,1,descriptions.rock_name_original
"Карбонатчлагдаж, цахиуржсан хувирсан габбродиорит порфир",gabbrodiorite,mafic intrusive,1,descriptions.rock_name_original
"Карбонатчлагдан, альбитжсан эпидот -пироксен-гранат-карбонаттай скарн",skarn / metasomatite,metamorphic,1,descriptions.rock_name_original
Карбонатчлагдсан жижиг ширхэгтэй хээрийн жонш-кварцат элсжинлэг метаалевролит,sediment / metasediment,sedimentary,1,descriptions.rock_name_original
Карбонатчлагдсан плагиоклаз-эпидот-пироксент бичил гнейс?,sediment / metasediment,sedimentary,1,descriptions.rock_name_original
Кварц агуулсан амфиболит,amphibolite / metabasite,metamorphic,1,descriptions.rock_name_original
Магнетит-халькопирит-миллерит-пирротиноос тогтсон цул хүдэр,massive sulfide / ore,vein-ore,1,descriptions.rock_name_original
Малахиттай төмрийн ислийн хүдэр,massive sulfide / ore,vein-ore,1,descriptions.rock_name_original
Метасоматоз хувиралд хүчтэй орсон андезидацит,volcanic / subvolcanic,volcanic,1,descriptions.rock_name_original
Метасоматозоор хүчтэй хувирсан габбродиорит порфир,gabbrodiorite,mafic intrusive,1,descriptions.rock_name_original
Метасоматозоор хүчтэй хувирсан диорит порфир,diorite / quartz diorite,felsic-intermediate intrusive,1,descriptions.rock_name_original
Микродиоритоор үүссэн хлорит-мусковит-альбитат метасоматит,skarn / metasomatite,metamorphic,1,descriptions.rock_name_original
Миндалекаменный базальт-андезитбазальт,dolerite / diabase / basalt dyke,mafic intrusive,1,descriptions.rock_name_original
Оливинт вебстерит,peridotite / ultramafic,ultramafic,1,samples.petro_lithology
Оливинтой вебстерит,peridotite / ultramafic,ultramafic,1,descriptions.rock_name_original
Пиритжсэн хлорит-серицит-мусковитат метасоматит,skarn / metasomatite,metamorphic,1,descriptions.rock_name_original
Плагиоклаз-кварц- кальцитын метасоматит,skarn / metasomatite,metamorphic,1,samples.petro_lithology
Плагиоклаз-кварц-кальцитын метасоматит,skarn / metasomatite,metamorphic,1,descriptions.rock_name_original
Плагиориолит (Плагиоборжин порфир),granitoid,felsic-intermediate intrusive,1,descriptions.rock_name_original
Риодацит; Хүдэр: гематит-пиритийн шигтгээлэг хүдэр,massive sulfide / ore,vein-ore,1,descriptions.rock_name_original
Риолит порфир,volcanic / subvolcanic,volcanic,1,descriptions.rock_name_original
Риолит-порфир,volcanic / subvolcanic,volcanic,1,descriptions.rock_name_original
Риолит‑порфир,volcanic / subvolcanic,volcanic,1,samples.petro_lithology
Серпентин-карбонат-актинолит-хлоритот метасоматит (Габбро юмуу хэт суурилаг чулуугаар үүссэн),skarn / metasomatite,metamorphic,1,descriptions.rock_name_original
Сулавтар брекчилэгдэж карбонатчлагдсан дунд ширхэгтэй пироксен-эвэрхуурмагт перидотит,peridotite / ultramafic,ultramafic,1,descriptions.rock_name_original
"Сулавтар карбонатчлагдаж, хүдэржсэн алевритлаг аргиллит (алевролит)",sediment / metasediment,sedimentary,1,descriptions.rock_name_original
Сулавтар карбонатчлагдсан төмрийн ислийн хүдэр,massive sulfide / ore,vein-ore,1,descriptions.rock_name_original
Сулавтар пиритжсэн хлорит-серицит-мусковитат метасоматит,skarn / metasomatite,metamorphic,1,descriptions.rock_name_original
Сулавтар төмөржиж карбонатчлагдсан кварц-актинолит-эпидотот метасоматит (габбродиорит порфироор үүссэн),skarn / metasomatite,metamorphic,1,descriptions.rock_name_original
"Сулавтар хүдэржиж, хувирсан жижиг дунд ширхэгтэй меланократ габбро (эвэр хуурмагт перидотит)",peridotite / ultramafic,ultramafic,1,descriptions.rock_name_original
"Сулавтар хүдэржиж, хувирсан жижиг дунд ширхэгтэй эвэр хуурмагт перидотит",peridotite / ultramafic,ultramafic,1,descriptions.rock_name_original
"Сулавтар хүдэржиж, хувирсан меланократ габбро порфир",olivine gabbro / melagabbro,mafic intrusive,1,descriptions.rock_name_original
"Сулавтар хүдэржиж, хувирсан меланократ габбро порфир (Шигтгээ маягийн жижиг ширхэгтэй меланократ габбро)",olivine gabbro / melagabbro,mafic intrusive,1,descriptions.rock_name_original
"Сулавтар хүдэржиж, хувирсан меланократ габбро порфир (Шигтгээ маягийн сулавтар хүдэржиж, хувирсан меланократ габбро)",olivine gabbro / melagabbro,mafic intrusive,1,descriptions.rock_name_original
"Сулавтар хүдэржиж, хувирсан микрогаббро",gabbro / gabbronorite / norite,mafic intrusive,1,descriptions.rock_name_original
Сулавтар хүдэржсэн алевролитоор үүссэн аргиллит (филлит),schist / phyllite,metamorphic,1,descriptions.rock_name_original
Сулавтар хүдэржсэн алевролитоор үүссэн хлорит-серицитэт бичил занар (филлит),schist / phyllite,metamorphic,1,descriptions.rock_name_original
Сулавтар хүдэржсэн габбродиоритоор үүссэн карбонат-актинолит-хлоритот метасоматит,skarn / metasomatite,metamorphic,1,descriptions.rock_name_original
Сулавтар хүдэржсэн метаалевролит,sediment / metasediment,sedimentary,1,descriptions.rock_name_original
Толболог метаалевролит,sediment / metasediment,sedimentary,1,descriptions.rock_name_original
Тольбон габбро,gabbro / gabbronorite / norite,mafic intrusive,1,samples.petro_lithology
Том дунд ширхэгтэй биотитот боржин,granitoid,felsic-intermediate intrusive,1,descriptions.rock_name_original
Хлорит-биотит-мусковит-альбитат метасоматит,skarn / metasomatite,metamorphic,1,descriptions.rock_name_original
Хлорит-серицитэт бичил занар (филлит),schist / phyllite,metamorphic,1,descriptions.rock_name_original
Хлорит-серицитэт метасоматит,skarn / metasomatite,metamorphic,1,descriptions.rock_name_original
Хувирсан (актинолитжсан) габбродиорит порфир,gabbrodiorite,mafic intrusive,1,descriptions.rock_name_original
Хувирсан (хүчтэй актинолитжсан) габбродиорит порфир,gabbrodiorite,mafic intrusive,1,descriptions.rock_name_original
Хувирсан базальт (миндалинлаг),dolerite / diabase / basalt dyke,mafic intrusive,1,descriptions.rock_name_original
Хувирсан габбродиорит-порфир,gabbrodiorite,mafic intrusive,1,descriptions.rock_name_original
Хувирсан дунд жижиг ширхэгтэй биотит-эвэр хуурмагт габбродиорит,gabbrodiorite,mafic intrusive,1,descriptions.rock_name_original
Хувирсан дунд жижиг ширхэгтэй эвэр хуурмаг-пироксент габбро,gabbro / gabbronorite / norite,mafic intrusive,1,descriptions.rock_name_original
Хувирсан дунд жижиг ширхэгтэй эвэрхуурмагт габбродиорит,gabbrodiorite,mafic intrusive,1,descriptions.rock_name_original
Хувирсан дунд том ширхэгтэй пироксенит,peridotite / ultramafic,ultramafic,1,descriptions.rock_name_original
Хувирсан жигд биш ширхэгтэй оливин-эвэр хуурмагт меланократ габбро,olivine gabbro / melagabbro,mafic intrusive,1,descriptions.rock_name_original
"Хувирсан жигд биш ширхэгтэй эвэр хуурмагт меланократ габбро (хүдэржсэн микрогабброгийн линз, шлиртэй)",olivine gabbro / melagabbro,mafic intrusive,1,descriptions.rock_name_original
Хувирсан жижиг дунд ширхэгтэй пироксен-эвэр хуурмагт габбро,gabbro / gabbronorite / norite,mafic intrusive,1,descriptions.rock_name_original
Хувирсан жижиг-дунд мөхлөгт биотит-амфиболт габбро,gabbro / gabbronorite / norite,mafic intrusive,1,descriptions.rock_name_original
Хувирсан кварцат микродиорит,diorite / quartz diorite,felsic-intermediate intrusive,1,descriptions.rock_name_original
Хувирсан меланократ габбро (долерит) порфир (меланократ микрогаббро ба пироксен-гранат-карбонатат скарны шлирүүдтэй),skarn / metasomatite,metamorphic,1,descriptions.rock_name_original
Хувирсан меланократ микрогаббро,olivine gabbro / melagabbro,mafic intrusive,1,descriptions.rock_name_original
Хувирсан оливин габбро,olivine gabbro / melagabbro,mafic intrusive,1,samples.petro_lithology
Хувирсан пироксенит,peridotite / ultramafic,ultramafic,1,samples.petro_lithology
Хувирсан пироксенит порфир (Судлын пироксенит),peridotite / ultramafic,ultramafic,1,descriptions.rock_name_original
Хувирсан шигтгээ маягийн дунд жижиг ширхэгтэй оливин-пироксен-эвэр хуурмагт меланократ габбро,olivine gabbro / melagabbro,mafic intrusive,1,descriptions.rock_name_original
Хувирсан шигтгээ маягийн дунд жижиг ширхэгтэй оливин-пироксен-эвэр хуурмагт меланократ габбро (Габбро порфир),olivine gabbro / melagabbro,mafic intrusive,1,descriptions.rock_name_original
Хувирсан шигтгээ маягийн жижиг дунд ширхэгтэй оливин-пироксен-эвэр хуурмагт меланократ габбро (Жигд биш ширхэгтэй меланократ габбро),olivine gabbro / melagabbro,mafic intrusive,1,descriptions.rock_name_original
Хувирсан шигтгээ маягийн жижиг ширхэгтэй пироксен эвэр хуурмагт меланократ габбро (Хувирсан меланократ габбро порфир),olivine gabbro / melagabbro,mafic intrusive,1,descriptions.rock_name_original
Хувирсан шүлтлэгдүү кварцат диорит порфир,diorite / quartz diorite,felsic-intermediate intrusive,1,descriptions.rock_name_original
Хувирч хүдэржсэн жигд биш ширхэгтэй оливин-эвэр хуурмагт меланократ габбро,olivine gabbro / melagabbro,mafic intrusive,1,descriptions.rock_name_original
"Хувирч, исэлдсэн жигд биш ширхэгтэй оливин-эвэр хуурмагт меланократ габбро",olivine gabbro / melagabbro,mafic intrusive,1,descriptions.rock_name_original
"Хувирч, хүдэржсэн жигд биш ширхэгтэй оливин-эвэр хуурмагт меланократ габбро",olivine gabbro / melagabbro,mafic intrusive,1,descriptions.rock_name_original
Хүдэржиж хувирсан жигд биш ширхэгтэй оливин эвэр хуурмагт меланократ габбро,olivine gabbro / melagabbro,mafic intrusive,1,descriptions.rock_name_original
"Хүдэржиж, карбонатчлагдсан дунд жижиг ширхэгтэй гранаттай оливин-пироксент габбро (микрогабброгийн линзтэй)",gabbro / gabbronorite / norite,mafic intrusive,1,descriptions.rock_name_original
"Хүдэржиж, метасоматозоор хүчтэй хувирсан жижиг дунд ширхэгтэй перидотит",peridotite / ultramafic,ultramafic,1,descriptions.rock_name_original
"Хүдэржиж, хувирсан габбро порфир",gabbro / gabbronorite / norite,mafic intrusive,1,descriptions.rock_name_original
"Хүдэржиж, хувирсан жигд биш ширхэгтэй (шигтгээ маягийн) оливин-пироксен-эвэр хуурмагт меланократ габбро",olivine gabbro / melagabbro,mafic intrusive,1,descriptions.rock_name_original
"Хүдэржиж, хувирсан жигд биш ширхэгтэй (шигтгээ маягийн) эвэр хуурмагт меланократ габбро",olivine gabbro / melagabbro,mafic intrusive,1,descriptions.rock_name_original
"Хүдэржиж, хувирсан жигд биш ширхэгтэй оливин-пироксен-эвэр хуурмагт меланократ габбро (эвэр хуурмагт перидотит)",peridotite / ultramafic,ultramafic,1,descriptions.rock_name_original
"Хүдэржиж, хувирсан жигд биш ширхэгтэй пироксент меланократ габбро",olivine gabbro / melagabbro,mafic intrusive,1,descriptions.rock_name_original
"Хүдэржиж, хувирсан жигд биш ширхэгтэй эвэр хуурмагт перидотит",peridotite / ultramafic,ultramafic,1,descriptions.rock_name_original
"Хүдэржиж, хувирсан жигд биш ширхэгтэй эвэр хуурмагт перидотит (Хувирсан габбродиоритын шлиртэй)",peridotite / ultramafic,ultramafic,1,descriptions.rock_name_original
"Хүдэржиж, хувирсан жижиг дунд ширхэгтэй пироксен-биотит-эвэр хуурмагт габбро",gabbro / gabbronorite / norite,mafic intrusive,1,descriptions.rock_name_original
"Хүдэржиж, хувирсан жижиг дунд ширхэгтэй эвэр хуурмагт перидотит (меланократ габбро?)",peridotite / ultramafic,ultramafic,1,descriptions.rock_name_original
"Хүдэржиж, хувирсан жижиг ширхэгтэй меланократ (оливин-эвэр хуурмагт) габбро",olivine gabbro / melagabbro,mafic intrusive,1,descriptions.rock_name_original
"Хүдэржиж, хувирсан жижиг-дунд мөхлөгт биотитот шүлтлэгдүү диорит",diorite / quartz diorite,felsic-intermediate intrusive,1,descriptions.rock_name_original
"Хүдэржиж, хувирсан меланократ габбро порфир",olivine gabbro / melagabbro,mafic intrusive,1,descriptions.rock_name_original
"Хүдэржиж, хувирсан шигтгээ маягийн дунд жижиг ширхэгтэй меланократ габбронорит (Перидотит?)",peridotite / ultramafic,ultramafic,1,descriptions.rock_name_original
"Хүдэржиж, хувирсан шигтгээ маягийн жижиг дунд ширхэгтэй меланократ габбронорит (Перидотит?)",peridotite / ultramafic,ultramafic,1,descriptions.rock_name_original
"Хүдэржиж, хувирсан шигтгээ маягийн жижиг ширхэгтэй пироксен-оливин-эвэр хуурмагт меланократ габбро",olivine gabbro / melagabbro,mafic intrusive,1,descriptions.rock_name_original
Хүдэржисэн жижиг дунд ширхэгтэй пироксен-эвэр хуурмагт меланократ габбро,olivine gabbro / melagabbro,mafic intrusive,1,descriptions.rock_name_original
Хүдэржсэн амфибол-плагиоклазат гнейс (габбро-диоритоор үүссэн),gabbro / gabbronorite / norite,mafic intrusive,1,descriptions.rock_name_original
Хүдэржсэн жижиг дунд ширхэгтэй хувирсан меланократ габбронорит (перидотит?),peridotite / ultramafic,ultramafic,1,descriptions.rock_name_original
Хүдэржсэн жижиг дунд ширхэгтэй эвэр хуурмаг-пироксент меланократ габбро (перидотит?),peridotite / ultramafic,ultramafic,1,descriptions.rock_name_original
Хүдэржсэн кварц-актинолит-альбитат гнейс (габбро-диоритоор үүссэн метасоматит),skarn / metasomatite,metamorphic,1,descriptions.rock_name_original
Хүдэржсэн кварц-карбонатын судал,vein / quartz,vein-ore,1,descriptions.rock_name_original
Хүдэржсэн кордиерит-актинолитат метасоматит,skarn / metasomatite,metamorphic,1,descriptions.rock_name_original
Хүдэржсэн серицит-кварцат занар,schist / phyllite,metamorphic,1,descriptions.rock_name_original
Хүдэржсэн том дунд ширхэгтэй эвэрхуурмагт габбро (Габбродиорит),gabbro / gabbronorite / norite,mafic intrusive,1,descriptions.rock_name_original
Хүдэржсэн хлорит-карбонатат метасоматит,skarn / metasomatite,metamorphic,1,descriptions.rock_name_original
Хүдэржсэн хлорит-карбонатат метасоматит (Габбродиоритоор үүссэн),skarn / metasomatite,metamorphic,1,descriptions.rock_name_original
Хүдэржсэн хлорит-серицитэт бичил занар,schist / phyllite,metamorphic,1,descriptions.rock_name_original
Хүдэржсэн шигтгээ маягийн жижиг ширхэгтэй пироксен-эвэр хуурмагт габбро /Хувирсан габбро порфир/,gabbro / gabbronorite / norite,mafic intrusive,1,descriptions.rock_name_original
Хүдэржсэн шигтгээ маягийн жижиг ширхэгтэй эвэр хуурмаг-оливин-пироксент меланократ габбро,olivine gabbro / melagabbro,mafic intrusive,1,descriptions.rock_name_original
Хүдэржсэн шпинель -кордиерит-актинолитат метасоматит (бичил гнейс),skarn / metasomatite,metamorphic,1,descriptions.rock_name_original
Хүдэржсэн шпинельтэй эпидот-пироксент бичил гнейс (скарн?),skarn / metasomatite,metamorphic,1,descriptions.rock_name_original
Хүчиллэг найрлагатай субвулканит,volcanic / subvolcanic,volcanic,1,descriptions.rock_name_original
"Хүчтэй брекчлэгдэн цахиуржиж, карбонатчлагдан хүдэржсэн хлорит-серпентинт метасоматит (хлориттой серпентинит)",skarn / metasomatite,metamorphic,1,descriptions.rock_name_original
"Хүчтэй карбонатчлагдаж, хлоритжсон габбродиорит порфир",gabbrodiorite,mafic intrusive,1,descriptions.rock_name_original
"Хүчтэй карбонатчлагдаж, хувирсан габбродиорит порфир",gabbrodiorite,mafic intrusive,1,descriptions.rock_name_original
Хүчтэй карбонатчлагдсан габбродиорит порфироор үүссэн эпидот-хлорит-актинолит-серицитэт метасоматит,skarn / metasomatite,metamorphic,1,descriptions.rock_name_original
Хүчтэй карбонатчлагдсан жижиг ширхэгтэй аркоз элсжин,sediment / metasediment,sedimentary,1,descriptions.rock_name_original
Хүчтэй хувирсан габбродиорит порфир,gabbrodiorite,mafic intrusive,1,descriptions.rock_name_original
Хүчтэй хувирсан габбродиорит порфир (Габбродиорит-порфироор үүссэн альбит-хлорит-карбонатат метасоматит),skarn / metasomatite,metamorphic,1,descriptions.rock_name_original
Хүчтэй хувирсан дунд жижиг ширхэгтэй эвэр хуурмагтай перидотит,peridotite / ultramafic,ultramafic,1,descriptions.rock_name_original
Хүчтэй хувирсан жигд биш ширхэгтэй эвэр хуурмагт перидотит,peridotite / ultramafic,ultramafic,1,descriptions.rock_name_original
Хүчтэй хувирсан жижиг-дунд мөхлөгт оливин-амфиболт габбро (меланократ габбро),olivine gabbro / melagabbro,mafic intrusive,1,descriptions.rock_name_original
"Хүчтэй хувирч, сулавтар хүдэржсэн жигд биш ширхэгтэй оливин-пироксент перидотит",peridotite / ultramafic,ultramafic,1,descriptions.rock_name_original
"Хүчтэй хувирч, сулавтар хүдэржсэн жигд биш ширхэгтэй пироксен-оливин-эвэр хуурмагт меланократ габбро",olivine gabbro / melagabbro,mafic intrusive,1,descriptions.rock_name_original
"Хүчтэй хувирч, сулавтар хүдэржсэн жигд биш ширхэгтэй пироксен-оливин-эвэр хуурмагт перидотит",peridotite / ultramafic,ultramafic,1,descriptions.rock_name_original
"Хүчтэй хувирч, хүдэржсэн жигд биш ширхэгтэй оливин-эвэр хуурмагт перидотит",peridotite / ultramafic,ultramafic,1,descriptions.rock_name_original
"Хүчтэй хувирч, хүдэржсэн жигд биш ширхэгтэй эвэр хуурмагт перидотит (меланократ габбро)",peridotite / ultramafic,ultramafic,1,descriptions.rock_name_original
"Хүчтэй хувирч, хүдэржсэн шигтгээ маягийн дунд жижиг ширхэгтэй эвэр хуурмагт меланократ габбро",olivine gabbro / melagabbro,mafic intrusive,1,descriptions.rock_name_original
"Хүчтэй хүдэржиж, хувирсан жигд биш ширхэгтэй оливин-эвэр хуурмагт перидотит",peridotite / ultramafic,ultramafic,1,descriptions.rock_name_original
"Хүчтэй хүдэржиж, хувирсан жигд биш ширхэгтэй эвэр хуурмагт перидотит",peridotite / ultramafic,ultramafic,1,descriptions.rock_name_original
"Хүчтэй хүдэржиж, хувирсан жижиг дунд ширхэгтэй перидотит",peridotite / ultramafic,ultramafic,1,descriptions.rock_name_original
"Хүчтэй хүдэржиж, хувирсан жижиг дунд ширхэгтэй эвэр хуурмагт перидотит",peridotite / ultramafic,ultramafic,1,descriptions.rock_name_original
"Хүчтэй хүдэржиж, хувирсан жижиг дунд ширхэгтэй эвэр хуурмагт перидотит. (Сулавтар хүдэржиж, хувирсан жижиг дунд ширхэгтэй пироксен-эвэр хуурмагт габбродиоритын линзтэй )",peridotite / ultramafic,ultramafic,1,descriptions.rock_name_original
Хүчтэй хүдэржсэн (төмөржсөн) кварцит,gossan / oxidized,vein-ore,1,descriptions.rock_name_original
Хүчтэй хүдэржсэн гранат-кварцын судал,vein / quartz,vein-ore,1,descriptions.rock_name_original
Хүчтэй хүдэржсэн жижиг дунд ширхэгтэй пироксен-эвэрхуурмагт габбро,gabbro / gabbronorite / norite,mafic intrusive,1,descriptions.rock_name_original
Хүчтэй хүдэржсэн кварц-серицитэт занар,schist / phyllite,metamorphic,1,descriptions.rock_name_original
Хүчтэй хүдэржсэн кварцат диорит порфир (Андезит дацит),diorite / quartz diorite,felsic-intermediate intrusive,1,descriptions.rock_name_original
Цахиуржиж карбонатчлагдсан алевролитоор үүссэн хлорит-серицит-мусковитот бичил занар (филлит),schist / phyllite,metamorphic,1,descriptions.rock_name_original
"Цахиуржиж, карбонатчлагдаж, пиритжсэн алевритлаг аргиллит (филлит)",schist / phyllite,metamorphic,1,descriptions.rock_name_original
"Цахиуржиж, карбонатчлагдан, хүдэржсэн алевритлаг аргиллит",sediment / metasediment,sedimentary,1,descriptions.rock_name_original
"Цахиуржиж, пиритжсэн алевритлаг аргиллит",sediment / metasediment,sedimentary,1,descriptions.rock_name_original
"Цахиуржиж, сулавтар хүдэржсэн дунд жижиг ширхэгтэй пироксенит",peridotite / ultramafic,ultramafic,1,descriptions.rock_name_original
"Цахиуржиж, хүдэржсэн биотит-хлориттой серпентинит",peridotite / ultramafic,ultramafic,1,descriptions.rock_name_original
"Цахиуржиж, хүдэржсэн кордиерит-серпентин-актинолитат метасоматит",skarn / metasomatite,metamorphic,1,descriptions.rock_name_original
"Цахиуржиж, хүдэржсэн кордиерит-серпентин-хлоритот метасоматит",skarn / metasomatite,metamorphic,1,descriptions.rock_name_original
"Цахиуржиж, хүдэржсэн серпентин-актинолит- кордиеритот метасоматит",skarn / metasomatite,metamorphic,1,descriptions.rock_name_original
"Цахиуржиж, хүдэржсэн серпентин-хлорит- кордиеритот метасоматит",skarn / metasomatite,metamorphic,1,descriptions.rock_name_original
Цахиуржсан актинолит-хлорит-циозит-серицитэт метасоматит (кварцат диоритоор үүссэн),skarn / metasomatite,metamorphic,1,descriptions.rock_name_original
Шаварлаг-гялтгануурт филлит,schist / phyllite,metamorphic,1,descriptions.rock_name_original
Шигтгээ маягийн жижиг ширхэгтэй пироксен эвэр хуурмагт габбро (Хувирсан габбро порфир),gabbro / gabbronorite / norite,mafic intrusive,1,descriptions.rock_name_original
Шигтгээ маягийн жижиг ширхэгтэй пироксен-эвэр хуурмагт меланократ габбро (Хувирсан меланократ габбро порфир),olivine gabbro / melagabbro,mafic intrusive,1,descriptions.rock_name_original
Эвэрттугмат верлит,peridotite / ultramafic,ultramafic,1,samples.petro_lithology
Эвэрттугмат габбродиорит,gabbrodiorite,mafic intrusive,1,samples.petro_lithology
Эвэрхуурмагт верлит,peridotite / ultramafic,ultramafic,1,descriptions.rock_name_original
Эвэрхуурмагт габбродиорит,gabbrodiorite,mafic intrusive,1,descriptions.rock_name_original
Эпидот-хлорит-актинолитот метасоматит (габбродиорит порфироор үүссэн?),skarn / metasomatite,metamorphic,1,descriptions.rock_name_original
Эпидотот амфиболит,amphibolite / metabasite,metamorphic,1,samples.petro_lithology
андезит порфир (жижиг мөхлөгтэй диорит),diorite / quartz diorite,felsic-intermediate intrusive,1,descriptions.rock_name_original
андезит порфир; Хүдэр: Гематит-гётит-лимонит ядуу хүдэр,massive sulfide / ore,vein-ore,1,descriptions.rock_name_original
базальт- андезитбазальт,dolerite / diabase / basalt dyke,mafic intrusive,1,descriptions.rock_name_original
габбронорит,gabbro / gabbronorite / norite,mafic intrusive,1,samples.petro_lithology
