#,Drillhole,X,Y,Sample interval,Sample interval,SAMPLE_ID,Petrographer,Өнгөлгөө,Year,Sample analysis,Sample analysis,Sample analysis,Sample analysis,Sample analysis,Sample analysis,Sample analysis,Field Lithology,New Lithology by Petrographic,New Lithology by iOGAS,Cr/V,Sr/Rb,PGM-ICP27,PGM-ICP27,PGM-ICP27,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,Cu-OG62,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,Ni-OG62,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC90M,IC90M,IC90M,IC90M,IC90M,IC90M,IC90M,IC90M,IC90M,IC90M,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,XRF76V,XRF76V,XRF76V,XRF76V,XRF76V
#,Drillhole,X,Y,Sample interval,Sample interval,SAMPLE_ID,Petrographer,Өнгөлгөө,Year,Polished thin section,Thin section,ASD,XRD,Fluid inclusion,EDS,EPMA,Field Lithology,New Lithology by Petrographic,New Lithology by iOGAS,Cr/V,Sr/Rb,Au ppm,Pt ppm,Pd ppm,Ag ppm,Al %,As ppm,Ba ppm,Be ppm,Bi ppm,Ca %,Cd ppm,Co ppm,Cr ppm,Cu ppm,Cu %,Fe %,Ga ppm,K %,La ppm,Li ppm,Mg %,MgO %,Mn ppm,Mo ppm,Na %,Ni ppm,Ni % ppm,P %,Pb ppm,S %,Sb ppm,Sc ppm,Sr ppm,Th ppm,Ti %,Tl ppm,U ppm,V ppm,W ppm,Zn ppm,Zr ppm,Se PPM,Rb PPM,Y PPM,Nb PPM,In PPM,Sn PPM,Te PPM,Cs PPM,Ce PPM,Tb PPM,Yb PPM,Lu PPM,Hf PPM,Ta PPM,Pr PPM,Nd PPM,Sm PPM,Eu PPM,Gd PPM,Dy PPM,Ho PPM,Er PPM,Tm PPM,Ge PPM,Al2O3 %,BaO %,CaO %,Cr2O3 %,Fe2O3 %,K2O %,MgO %,MnO %,Na2O %,P2O5 %,SO3 %,SiO2 %,SrO %,TiO2 %,Total %,PbO %,CuO %,TiO2 %,V2O5 %,ZnO %
74,OVD011,722147.92,5144268.65,101.5,OVD011-101.5,42027,,,2024,X,,,,,,,Gabbro,Diorite,,4.841666666666667,135.58823529411765,0.001,0.01,0.001,2,6.37,65,62,1.3,0.04,7.72,0.11,54.4,1162,65.4,,7.04,12.8,0.31,13.9,50,9.68,16.049439999999997,1357,0.82,0.72,462,0.0462,0.1376,4.3,0.02,0.33,29.5,461,2,0.37,0.03,1.09,240,0.3,79,58.5,2,3.4,11.7,2.1,0.03,0.6,0.07,1,34.7,0.47,1.1,0.16,1.88,0.05,3.32,15.7,4.1,1.23,4.7,4.97,0.97,2.97,0.44,2,,,,,,,,,,,,,,,,,,,,
75,OVD011,722147.92,5144268.65,107.4,OVD011-107.4,42030,,,2024,,X,,,,,,Meta sediment,Silstone,,0.7687861271676301,93.46153846153845,0.001,0.01,0.001,2,9.66,5,89,0.8,0.04,9.5,0.09,25.4,133,90.4,,6.28,17.2,0.31,10.1,40,2.51,4.16158,1833,1.13,2.67,59,0.0059,0.1028,7.1,1.09,0.22,27.6,486,1.3,0.55,0.03,1.22,173,0.5,81,83.4,2,5.2,19.7,3,0.05,0.8,0.11,1,24,0.59,2.2,0.32,2.76,0.07,2.96,13.2,2.7,1.13,2.9,2.74,0.54,1.44,0.2,2,,,,,,,,,,,,,,,,,,,,
76,OVD011,722147.92,5144268.65,109.1,OVD011-109.1,42031,,ok,2024,X,,,,,,,Spotted Rock,Silstone,,0.8548387096774194,63.96694214876033,0.001,0.01,0.001,2,10.37,6,173,0.9,0.04,8.98,0.06,24.7,159,90.4,,6.94,19.2,0.8,9.3,65,2.38,3.9460399999999995,2117,0.67,2.7,64,0.0064,0.0636,2.4,0.41,0.2,30.3,774,1.4,0.58,0.07,1.57,186,0.4,90,82,2,12.1,18.5,3.8,0.06,0.8,0.13,1,19.1,0.56,2.2,0.34,2.92,0.09,1.19,5.8,1.5,0.57,1.77,2.05,0.4,1.17,0.17,2,,,,,,,,,,,,,,,,,,,,
77,OVD011,722147.92,5144268.65,109.6,OVD011-109.6,42032,,,2024,X,,,,,,,Spotted Rock,Silstone,,0.5135135135135135,34.55026455026455,0.001,0.01,0.001,2,10.28,6,169,0.9,0.04,5.34,0.1,26.3,95,94.1,,6.26,18.7,1.05,9.7,64,1.91,3.1667799999999997,1205,0.83,3.14,51,0.0051,0.1093,9.3,1.54,0.16,27.8,653,1.4,0.55,0.11,1.16,185,0.4,89,67.4,2,18.9,20.6,2.7,0.06,0.9,0.16,1,23.4,0.67,2.3,0.33,2.28,0.07,2.86,12.5,2.8,0.94,2.72,2.64,0.48,1.3,0.2,1,,,,,,,,,,,,,,,,,,,,
78,OVD011,722147.92,5144268.65,126.5,OVD011-126.5,42043,,ok,2024,X,,,,,,,Gabbro,Silstone,,4.486910994764398,77.33333333333333,0.01,0.01,0.014,2,6.54,13,107,0.9,0.04,7.06,0.17,71,857,858,,7.2,13.3,0.38,12.5,37,8.48,14.05984,1281,0.72,1.05,910,0.091,0.1076,4.5,0.6,7.14,26.5,464,1.7,0.48,0.04,0.85,191,0.2,74,72.9,2,6,13.5,3.2,0.05,0.8,0.12,1,32.2,0.52,1.4,0.21,2.4,0.07,3.32,16.1,4,1.11,4.6,4.76,0.95,2.58,0.38,2,,,,,,,,,,,,,,,,,,,,
79,OVD011,722147.92,5144268.65,132.8,OVD011-132.8,42049,,,2024,X,,,,,,,Gabbro,Olivine gabbro,,3.169811320754717,65.76470588235294,0.001,0.01,0.004,2,7.58,5,254,0.8,0.04,4.74,0.11,65.9,504,228,,6.85,14.9,0.52,15.9,48,8.24,13.66192,1318,0.54,1.45,553,0.0553,0.1151,3.6,0.27,0.27,25.7,559,2,0.48,0.06,0.78,159,0.3,82,98.1,2,8.5,18.9,4.7,0.06,0.9,0.08,2,39.6,0.62,2,0.29,2.52,0.28,2.88,13.1,3.7,1.09,3.42,4.09,0.88,2.59,0.4,1,,,,,,,,,,,,,,,,,,,,
80,OVD011,722147.92,5144268.65,189.2,OVD011-189.2,42086,,ok,2024,X,,,,,,,Gabbro,Peridodtite,,4.814814814814815,354.28571428571433,0.001,0.01,0.005,2,6.29,3,12,1.2,0.04,6.19,0.07,62.4,910,105,,7.12,12.1,0.12,13.4,53,10.17,16.86186,1300,0.48,0.28,506,0.0506,0.1105,3.6,0.19,0.05,31.3,248,2.2,0.34,0.02,1.03,189,0.4,65,64,2,0.7,11.5,2.2,0.04,0.6,0.05,1,34.3,0.47,1,0.16,1.81,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,OVD014,722110.92,5144300.85,35.9,OVD014-35.9-36.1,42111,,,2024,X,,,,,,,Spotted Rock,Skarn,,0.1864406779661017,32.23776223776223,0.002,0.01,0.002,2,8.44,3,140,0.8,0.06,1.28,0.09,17,22,38.2,,6.02,23.8,0.8,8.7,78,1.92,3.1833599999999995,1192,0.45,2.59,14,0.0014,0.071,6.3,0.13,0.05,31.2,461,1.1,0.5,0.08,0.83,118,0.3,103,72.9,2,14.3,25.3,2.4,0.08,1.1,0.05,1,23.2,0.8,2.9,0.41,2.4,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,OVD014,722110.92,5144300.85,88.3,OVD014-88.3,42145,,,2024,,X,,,,,,Diabase,Diorite,,0.49122807017543857,59.02173913043479,0.001,0.01,0.002,2,10.35,4,171,0.6,0.04,4.86,0.1,26.3,84,76.5,,7.12,19.6,0.64,7.3,48,2.11,3.4983799999999996,1075,0.47,3.95,42,0.0042,0.0962,5.3,0.67,0.06,28.8,543,1.3,0.5,0.06,0.59,171,0.3,90,43.8,2,9.2,16.2,2.1,0.07,0.8,0.06,1,17.4,0.53,1.6,0.27,1.64,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,OVD014,722110.92,5144300.85,89.8,"OVD014-89.8 (A), OVD014-89.8 (B)",42147,,ok,2024,X,,,,,,,Gabbro,Gabbro,,0.9019607843137255,134.58333333333334,0.013,0.01,0.001,2,8.89,4,135,0.7,0.04,9.29,0.13,25.9,138,118,,6.33,16.5,0.34,13.1,24,2.92,4.84136,1538,0.62,3.34,83,0.0083,0.1009,6.2,0.55,0.11,24.3,646,1.7,0.58,0.02,0.78,153,0.2,74,110,2,4.8,24,4.3,0.07,1.1,0.05,1,29.6,0.71,2.5,0.4,3.17,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,OVD014,722110.92,5144300.85,102.3,OVD014-102.3,42158,,,2024,X,,,,,,,Gabbro Mineralized,Peridodtite,,5.010309278350515,202.22222222222223,0.025,0.08,0.086,3,4.67,32,9,0.3,0.61,6.71,1.41,307,486,6590,,14.09,9.6,0.01,6.2,39,6.96,11.539679999999999,1041,1.53,0.02,6370,0.637,0.0457,15,5,0.15,10.8,182,0.8,0.25,0.07,0.27,97,0.2,122,35.2,10,0.9,8.9,1.9,0.16,1.5,1.05,1,16,0.32,0.7,0.1,0.81,0.14,4.13,18.2,4.1,1.28,4.62,3.49,0.77,1.85,0.3,2,,,,,,,,,,,,,,,,,,,,
85,OVD014,722110.92,5144300.85,109.6,OVD014-109.6,42164,,,2024,,X,,,,,,Diabase,Gabbrodiorite,,4.228448275862069,43.63636363636363,0.001,0.01,0.008,2,6.53,1,110,1.2,0.07,5.81,0.08,52.8,981,126,,7.37,12.8,0.49,17.5,49,9.57,15.86706,1405,0.82,0.79,412,0.0412,0.124,3.9,0.61,0.22,29.4,240,2.8,0.43,0.05,1.15,232,0.2,66,81.4,2,5.5,14.4,2.6,0.05,0.7,0.05,1,39.5,0.56,1.3,0.2,2.33,0.17,3.46,15.2,3.6,1.13,3.76,3.17,0.64,1.74,0.25,2,,,,,,,,,,,,,,,,,,,,
86,OVD014,722110.92,5144300.85,95.9,OVD014-95.8-95.9,42150,,,2024,X,,,,,,,Gabbro,Gabbro,,4.12781954887218,90.63829787234042,0.007,0.01,0.004,2,7.31,1,161,0.6,0.04,5.39,0.15,68.7,549,369,,7.55,11.9,0.4,9.4,33,9.3,15.4194,1217,0.57,1.63,650,0.065,0.082,3,0.48,0.1,21.8,426,1,0.52,0.04,0.33,133,0.1,72,103,2,4.7,16.2,3.5,0.05,0.8,0.06,1,22.1,0.48,1.5,0.23,2.44,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,OVD015,722049,5144108,94.82,OVD015-94.82,42311,,,2024,X,,,,,,,Spotted rock,schist,,0.9148936170212766,27.549668874172188,0.001,0.01,0.001,2,8.33,6,225,1,0.06,0.97,0.04,30.1,172,103,,8.34,20.9,1.23,8.2,89,2.98,4.94084,1224,0.43,1.73,88,0.0088,0.1835,10.5,0.54,0.19,30.5,416,1.6,0.54,0.12,1.01,188,0.4,109,83.6,2,15.1,17.3,4.7,0.08,1.1,0.05,1,22.2,0.71,2.1,0.33,2.96,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,OVD015,722049,5144108,102.4,OVD015-102.4,42317,,,2024,X,,,,,,,Gabbro,Gabbrodiorite,,1.7127659574468086,44.91803278688525,0.001,0.01,0.001,2,6.6,14,154,0.7,0.04,5.14,0.05,37.7,322,60.1,,6.4,15.6,0.58,15.1,77,3.87,6.41646,949,3.4,1.98,91,0.0091,0.1305,2.4,0.21,0.32,29.1,548,1.8,0.59,0.06,0.58,188,0.1,72,64.3,2,12.2,17,3.8,0.06,0.7,0.05,1,35,0.62,1.6,0.25,2.33,0.25,3.41,14.4,3.6,1.07,3.77,3.21,0.74,1.78,0.29,2,,,,,,,,,,,,,,,,,,,,
89,OVD015,722049,5144108,105.1,OVD015-105.1-105.2,42318,,,2024,X,,,,,,,Gabbro,Diorite,,2.1881720430107525,65.57894736842105,0.001,0.01,0.001,2,6.31,2,164,0.6,0.04,5.78,0.06,46.3,407,40.8,,6.42,16.3,0.49,15,37,5.63,9.334539999999999,1141,0.42,2.05,141,0.0141,0.1339,2.3,0.15,0.15,30.5,623,1.8,0.63,0.05,0.57,186,0.1,74,72.1,2,9.5,20.2,4.4,0.06,0.8,0.05,1,34.7,0.64,2,0.29,2.74,0.27,1.28,5.6,1.5,0.64,1.96,1.94,0.46,1.18,0.19,2,,,,,,,,,,,,,,,,,,,,
90,OVD015,722049,5144108,116.1,OVD015-116.1,42326,,ok,2024,X,,,,,,,Gabbro,Gabbrodiorite,,3.103448275862069,65.75,0.002,0.01,0.002,2,5.44,12,184,0.6,0.04,5.38,0.09,47.5,450,205,,6.69,15.2,0.48,13.1,48,5.54,9.185319999999999,1069,0.18,1.76,265,0.0265,0.099,2.3,0.21,0.28,22.1,526,1.5,0.39,0.04,0.54,145,0.1,74,68.1,2,8,13.2,2.2,0.05,0.6,0.05,1,30.6,0.46,1.3,0.18,1.78,0.18,6.05,26.1,6.7,2,7.18,5.62,1.14,3.06,0.43,2,,,,,,,,,,,,,,,,,,,,
91,OVD015,722049,5144108,140.6,OVD015-140.6,42349,,,2024,X,,,,,,,Gabbro,Gabbro,,6.6461538461538465,167.91666666666669,0.008,0.01,0.004,2,4.48,2,123,0.5,0.1,3.41,0.12,80,864,525,,8.54,11.6,0.22,10.5,40,11.72,19.43176,1183,0.33,1.35,805,0.0805,0.0805,4.2,0.44,0.06,18.4,403,1.1,0.48,0.02,0.39,130,0.1,82,90.1,2,2.4,16.9,1.8,0.05,0.8,0.07,1,25.4,0.54,1.7,0.26,2.11,0.08,2.73,12,2.8,0.89,3.15,2.77,0.55,1.51,0.2,2,,,,,,,,,,,,,,,,,,,,
92,OVD015,722049,5144108,158.7,OVD015-158.7,42368,,ok,2024,X,,,,,,,Gabbro,Gabbro,,5.531746031746032,53.82352941176471,0.002,0.01,0.002,2,5.45,3,191,0.6,0.04,3.67,0.08,82.9,697,146,,8.41,11.7,0.52,10.3,44,12.78,21.189239999999998,1373,0.44,1.24,615,0.0615,0.097,2,0.16,0.07,19.5,549,1.2,0.44,0.12,0.37,126,0.1,88,72.5,2,10.2,18.2,2.9,0.04,0.7,0.05,2,26.3,0.48,1.5,0.23,1.97,0.16,2.82,12.3,2.8,0.89,3.2,2.93,0.52,1.55,0.21,2,,,,,,,,,,,,,,,,,,,,
93,OVD015,722049,5144108,165.5,OVD015-165.5,42376,,ok,2024,X,,,,,,,Gabbro,Peridodtite,,5.256637168141593,33.10924369747899,0.005,0.01,0.003,2,4.84,6,173,0.4,0.04,3.31,0.1,85.4,594,313,,8.55,10,0.63,8.7,49,13.75,22.7975,1386,0.15,0.89,745,0.0745,0.0875,1,0.19,0.14,17.3,394,1,0.38,0.12,0.37,113,0.1,86,66.3,2,11.9,14.2,2.4,0.04,0.6,0.06,3,22.1,0.39,1.3,0.19,1.65,0.13,4.12,18.1,4.4,1.27,4.02,4.34,0.98,2.37,0.38,1,,,,,,,,,,,,,,,,,,,,
94,OVD015,722049,5144108,177.4,OVD015-177.4,42392,,ok,2024,X,,,,,,,Gabbro Mineralized,Peridodtite,,7.4,36.101694915254235,0.046,0.04,0.052,2,4.44,1,90,0.5,1.1,2.8,1.03,210,814,4670,0.467,13.4,10.1,0.39,7.1,20,11.55,19.1499,1242,0.47,0.75,4070,0.407,0.0765,15.8,3.71,0.08,16.7,213,0.7,0.41,0.08,0.28,110,0.1,100,70.2,6,5.9,15.8,3.1,0.12,1.7,1.01,1,18,0.42,1.3,0.2,1.91,0.2,4.16,18.3,4,1.28,4.08,3.61,0.72,2.13,0.29,2,,,,,,,,,,,,,,,,,,,,
95,OVD015,722049,5144108,175.5 A,OVD015-175.5 (A),42388,,ok,2024,X,,,,,,,Gabbro,Peridodtite,,4.451612903225806,72.71428571428571,0.002,0.01,0.004,2,6.49,5,259,0.6,0.08,7.5,0.25,57.2,690,401,,6.49,14.4,0.65,9,18,6.37,10.56146,1148,0.31,2.48,420,0.042,0.0934,6.8,0.6,0.1,37,509,0.9,0.57,0.03,0.35,155,0.2,62,91.9,2,7,22.3,3.5,0.1,1.5,0.09,1,22.7,0.58,1.7,0.26,2.61,0.23,4.19,18.3,4.2,1.41,4.42,3.64,0.69,2.1,0.29,2,,,,,,,,,,,,,,,,,,,,
96,OVD015,722049,5144108,175.5 B,OVD015-175.5 (B),42389,,,2024,X,,,,,,,Gabbro,Peridodtite,,3.8850574712643677,45.69230769230769,0.004,0.01,0.008,2,6.24,1,146,0.7,0.08,4.14,0.31,79.1,676,819,,8.95,15,0.5,10.6,24,9.45,15.668099999999997,1328,0.35,1.54,872,0.0872,0.1215,3.5,0.8,0.12,20.6,297,1.1,0.75,0.03,0.45,174,0.2,91,101,2,6.5,24.5,4.8,0.11,1.9,0.17,1,27.2,0.63,1.9,0.29,2.76,0.27,4.02,17.6,3.9,1.23,4.1,3.51,0.7,1.94,0.29,2,,,,,,,,,,,,,,,,,,,,
97,OVD020,722120.03,5144151.61,60.6,OVD020-60.6,42615,,ok,2024,X,,,,,,,Unmineralized gabbro,Gabbro,,2.36046511627907,57.15909090909091,0.004,0.01,0.001,2,8.5,2,174,0.8,0.04,5.26,0.05,44.6,406,45.3,,7.06,14.7,0.66,12.6,20,6.64,11.00912,1209,0.23,2.01,190,0.019,0.1084,1.8,0.09,0.05,24.7,503,1.4,0.58,0.04,0.5,172,0.1,76,81.6,2,8.8,18.6,3.7,0.05,0.5,0.05,1,29.9,0.56,1.8,0.28,2.16,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,OVD020,722120.03,5144151.61,101.4,OVD020-101.4,42638,,ok,2024,X,,,,,,,Unmineralized gabbro,Gabbro,,3.435064935064935,67.46268656716418,0.012,0.01,0.01,2,8.11,5,153,0.8,0.13,3.67,0.3,83.2,529,928,,7.5,15.1,0.42,14.2,37,7.34,12.16972,968,0.62,2.02,936,0.0936,0.1035,3.5,0.98,0.21,24.7,452,2.1,0.53,0.07,0.61,154,0.1,80,78.7,4,6.7,16.5,3.7,0.07,0.9,0.19,1,35.5,0.57,1.6,0.25,2.36,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,OVD020,722120.03,5144151.61,124.2,OVD020-124.2,42653,,,2024,X,,,,,,,Spotted rock,Silstone,,0.3271604938271605,24.43298969072165,0.003,0.01,0.002,2,8.89,1,208,1,0.04,2.46,0.16,19.2,53,48.2,,6.11,19.3,1.14,9.6,79,2,3.316,1145,0.38,2.38,28,0.0028,0.1349,7.6,0.62,0.14,28.1,474,1.7,0.33,0.1,0.71,162,0.3,108,88.7,2,19.4,27.5,1.6,0.09,1.1,0.05,1,26.4,0.85,2.6,0.39,2.59,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,OVD022,722024,5144354.55,8.7,OVD022-8.7,47154,Altantsetseg,,2024,x,,,,,,,Breccia,Breccia,,3.0802139037433154,#DIV/0!,0.01,0.01,0.01,0.5,5.02,8,180,0.5,2,8.28,0.5,61,576,363,0.0363,7.22,10,0.27,10,30,9.08,15.05464,1460,1,0.91,421,0.0421,0.047,7,0.01,5,41,283,20,0.36,10,10,187,10,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,OVD022,722024,5144354.55,36.9,OVD022-36.9,47155,Altantsetseg,,2024,x,,,,,,,Gabbro mineralized,Peridotite,,11.454545454545455,#DIV/0!,0.03,0.03,0.03,1.6,3.31,5,90,0.5,2,2.3,1.3,198,882,2800,0.28,11.7,10,0.27,10,20,14.15,23.4607,1285,1,0.68,3280,0.328,0.062,19,2.31,5,11,220,20,0.3,10,10,77,10,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,OVD022,722024,5144354.55,45.4,OVD022-45.4,47156,Altantsetseg,,2024,x,,,,,,,Gabbro mineralized,Peridotite,,10.604938271604938,#DIV/0!,0.04,0.03,0.04,2.1,3.64,5,90,0.5,3,2.46,1.4,217,859,3630,0.363,12.6,10,0.28,10,20,14.6,24.206799999999998,1315,1,0.77,3620,0.362,0.063,15,2.64,5,12,251,20,0.31,10,10,81,10,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,OVD022,722024,5144354.55,55.6,OVD022-55.6,47157,Altantsetseg,,2024,x,,,,,,,Gabbro mineralized,Peridotite,,9.285714285714286,#DIV/0!,0.03,0.03,0.04,1.9,3.83,5,50,0.5,3,2.38,0.9,196,845,3330,0.333,11.75,10,0.19,10,30,13.9,23.0462,1220,1,0.45,3390,0.339,0.069,14,2.76,5,13,108,20,0.36,10,10,91,10,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,OVD022,722024,5144354.55,65.7,OVD022-65.7,47158,Altantsetseg,,2024,x,,,,,,,Gabbro mineralized,Peridotite,,8.080808080808081,#DIV/0!,0.02,0.01,0.01,0.5,4.39,7,90,0.5,2,3.53,0.6,118,800,683,0.0683,9.35,10,0.34,10,20,13.75,22.7975,1360,1,0.99,1345,0.1345,0.073,11,0.67,5,15,298,20,0.41,10,10,99,10,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,OVD022,722024,5144354.55,89.05,OVD022-89.05,47159,Altantsetseg,,2024,x,,,,,,,Gabbro mineralized,Gabbro,,5.433333333333334,#DIV/0!,0.01,0.02,0.03,1.1,5.26,5,60,0.6,2,3.7,0.7,144,652,1975,0.1975,10.65,10,0.15,10,20,10.35,17.1603,1445,1,1.17,2200,0.22,0.097,6,1.78,5,17,206,20,0.53,10,10,120,10,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,OVD022,722024,5144354.55,96.25,OVD022-96.25,47160,Altantsetseg,,2024,x,,,,,,,Gabbro mineralized,Peridotite,,5.259615384615385,#DIV/0!,0.09,0.08,0.1,4.4,4.39,5,120,0.5,3,2.43,2,399,547,8070,0.807,16.45,10,0.31,10,20,8.36,13.860879999999998,1160,1,0.88,8550,0.855,0.079,34,8.23,5,14,279,20,0.43,10,10,104,10,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,OVD022,722024,5144354.55,99.25,OVD022-99.25,47161,Altantsetseg,,2024,x,,,,,,,Dolerite,Gabbro,Alkalic Gabbro,1.3967391304347827,#DIV/0!,,,,1.1,6.65,6,170,0.7,2,6.42,0.8,80,257,1760,0.176,9.64,10,0.37,10,30,4.86,8.05788,1800,1,2.01,1140,0.114,0.115,14,2.02,5,30,779,20,0.62,10,10,184,10,79,,,,,,,,,,,,,,,,,,,,,,,,,,13.27,0.02,8.86,0.05,13.72,0.44,8.27,0.24,2.87,0.26,4.34,45.23,0.08,1.06,,,,,,
104,OVD022,722024,5144354.55,105.6,OVD022-105.6,47162,Altantsetseg,,2024,x,,,,,,,Gabbro mineralized,Gabbro,,3.6796875,#DIV/0!,0.06,0.05,0.07,2.2,6.58,9,200,0.7,2,3.15,1.1,186,471,3990,0.399,12,10,0.49,10,40,7.43,12.31894,1195,1,1.36,3610,0.361,0.095,25,3.27,5,19,513,20,0.53,10,10,128,10,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,OVD022,722024,5144354.55,112.3,OVD022-112.3,47163,Altantsetseg,,2024,x,,,,,,,Dolerite,Olivine gabbro,Foid Gabbro,2.783333333333333,#DIV/0!,,,,2.1,6.53,32,120,0.6,2,6.09,1,182,334,5970,0.597,11.25,10,0.26,20,20,5.32,8.82056,1765,1,1.9,3630,0.363,0.112,15,3.35,5,16,509,20,0.53,10,10,120,10,90,,,,,,,,,,,,,,,,,,,,,,,,,,12.6,0.01,8.48,0.07,16,0.33,9.05,0.23,2.67,0.26,8.44,40.3,0.06,0.87,,,,,,
106,OVD022,722024,5144354.55,124.2,OVD022-124.2,47164,Altantsetseg,,2024,x,,,,,,,Spotted rock,Spotted rock,,0.6606060606060606,#DIV/0!,,,,0.5,9.24,7,280,1,2,1.18,0.5,32,109,102,0.0102,7.18,20,1.62,10,80,2.12,3.51496,740,1,2,65,0.0065,0.095,13,1.62,5,30,447,20,0.46,10,10,165,10,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,OVD022,722024,5144354.55,136.8,OVD022-136.8,47165,Altantsetseg,,2024,x,,,,,,,Spotted rock,Spotted rock,,0.6995073891625616,#DIV/0!,,,,0.5,8.71,5,210,0.8,2,0.6,0.5,28,142,124,0.0124,7.57,20,1.02,10,70,2.38,3.9460399999999995,1085,1,2.44,78,0.0078,0.097,8,0.5,5,32,431,20,0.49,10,10,203,10,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,OVD022,722024,5144354.55,145,OVD022-145,47166,Altantsetseg,,2024,x,,,,,,,Gabbro Mineralized s,Olivine gabbro,,2.32,#DIV/0!,0.04,0.05,0.05,1.3,6.93,81,160,0.6,2,5.73,0.8,92,348,2340,0.234,8,10,0.28,20,40,5.56,9.21848,1665,1,2.09,1580,0.158,0.136,12,1.46,5,20,658,20,0.48,10,10,150,10,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,OVD022,722024,5144354.55,163.8,OVD022-163.8,47167,Altantsetseg,,2024,,x,,,,,,Siltstone,Siltstone,,0.45161290322580644,#DIV/0!,,,,0.5,7.83,11,170,0.6,2,6.4,0.5,17,56,80,0.008,5.01,10,0.62,20,70,1.49,2.47042,1360,1,3.48,33,0.0033,0.124,11,0.94,5,21,420,20,0.5,10,10,124,10,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,OVD023,722034,5144337.2,15.65,OVD023-15.65,47168,Altantsetseg,,2024,x,,,,,,,Gabbro Mineralized,Peridotite,,7.797752808988764,#DIV/0!,0.01,0.01,0.01,0.5,3.9,5,100,0.5,2,7.57,0.5,88,694,221,0.0221,7.43,10,0.17,10,50,10.25,16.9945,1160,1,0.73,772,0.0772,0.067,7,0.01,5,13,327,20,0.31,10,10,89,10,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,OVD023,722034,5144337.2,29.8,OVD023-29.8,47169,Altantsetseg,,2024,x,,,,,,,Dolerite,Gabbrodiorite,Gabbro,1.2687747035573123,#DIV/0!,,,,0.5,6.97,9,100,0.6,2,7.55,0.6,49,321,157,0.0157,7.67,20,0.37,10,20,6.74,11.17492,1500,1,1,192,0.0192,0.065,7,0.9,5,37,368,20,0.52,10,10,253,10,83,,,,,,,,,,,,,,,,,,,,,,,,,,13.64,0.01,10.5,0.07,11.07,0.42,11.55,0.2,1.46,0.14,2.17,45.48,0.04,0.9,,,,,,
